Country,Continent,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nigeria,Africa,NGA,National,NGAt,Total,26.65,26.38,26.05,26.5,26.28,26.48,26.52,26.52,27.18,26.57,26.46,26.51,26.57,26.78,26.85,27.16,27.14,26.75,26.62,27.17,27.48,26.97,26.76,26.94,26.85,27.01,27.22,27.19,26.99,27.07,27.15,27.34,26.89
Nigeria,Africa,NGA,Subnat,NGAr122,Abia,25.79,25.67,25.69,25.85,25.87,25.97,25.87,25.97,26.71,25.77,25.94,26,25.89,26.07,26.22,26.35,26.42,26.12,26.16,26.48,26.92,26.39,26.25,26.26,26.38,26.52,26.85,26.84,26.62,26.72,27.09,26.98,26.81
Nigeria,Africa,NGA,Subnat,NGAr137,"Abuja FCT",27.36,27.08,26.67,27.15,27.04,27.14,27.33,27.03,28.07,27.36,27.34,27.37,27.32,27.71,27.69,28.02,28.01,27.48,27.37,27.69,28.1,27.65,27.42,27.56,27.44,27.61,27.68,28.17,27.5,27.64,27.71,28.08,27.63
Nigeria,Africa,NGA,Subnat,NGAr108,Adamawa,27.4,27.16,26.44,27.03,26.63,26.87,26.86,26.87,27.48,27,26.73,26.76,27.11,27.29,27.24,27.83,27.67,27.07,26.94,27.79,27.96,27.41,26.9,27.43,27.18,27.55,27.55,27.5,27.56,27.61,27.67,27.75,26.98
Nigeria,Africa,NGA,Subnat,NGAr101,"Akwa Ibom",25.64,25.6,25.61,25.78,25.81,25.89,25.72,25.86,26.54,25.68,25.77,25.83,25.8,25.98,26.1,26.2,26.25,26.01,26.05,26.27,26.64,26.22,26.14,26.13,26.24,26.29,26.7,26.59,26.45,26.61,26.88,26.76,26.59
Nigeria,Africa,NGA,Subnat,NGAr102,Anambra,26.55,26.37,26.29,26.5,26.47,26.66,26.56,26.6,27.48,26.5,26.67,26.68,26.53,26.71,26.9,27.02,27.13,26.78,26.84,27.17,27.67,27.07,26.89,26.9,26.98,27.15,27.47,27.51,27.22,27.36,27.65,27.76,27.46
Nigeria,Africa,NGA,Subnat,NGAr103,Bauchi,25.98,25.7,24.95,25.73,25.36,25.53,25.62,25.87,26.4,26.04,25.47,25.42,25.77,25.92,26.09,26.69,26.53,26.14,25.73,26.71,26.91,26.14,26.01,26.33,26.03,26.26,26.29,26.15,26.29,26.12,26.03,26.14,25.52
Nigeria,Africa,NGA,Subnat,NGAr131,Bayelsa,25.98,26.04,25.98,26.17,26.14,26.23,26.04,26.18,26.82,26.05,26.09,26.13,26.13,26.29,26.26,26.46,26.52,26.37,26.35,26.48,26.9,26.5,26.38,26.43,26.44,26.53,26.93,26.78,26.67,26.92,27.05,26.97,26.8
Nigeria,Africa,NGA,Subnat,NGAr105,Benue,27.4,27.06,26.81,27.2,27.17,27.26,27.3,27.14,28.14,27.44,27.33,27.42,27.37,27.77,27.75,28.11,28.17,27.57,27.39,27.98,28.31,27.68,27.53,27.69,27.56,27.72,27.82,28.15,27.8,27.69,27.97,28.15,27.72
Nigeria,Africa,NGA,Subnat,NGAr106,Borno,28.58,27.96,27.33,28.15,27.51,27.75,27.95,28.03,28.51,27.95,27.52,27.44,27.86,27.81,27.92,28.33,28.24,27.91,27.69,28.77,28.9,28.42,28.01,28.49,28.23,28.43,28.38,28.14,28.24,28.31,28.09,28.31,27.7
